program;c.domain;adv.model;protocol;partysize;comp.time(s);comp.peakRAM(MiB);bin.filesize(MiB);latencies(ms);bandwidths(Mbs);input_size;packetdrops(%);runtime_internal(s);runtime_external(s);peakRAM(MiB);jobCPU(%);P0commRounds;P0dataSent(MB);ALLdataSent(MB);System time (s)
61;RING;semidishonest;semi2k;3;0.46;32;1;0;25000;10000;0;0.40662;0.55;28;210%;~608;0.7028;2.10523;0.68
61;RING;semidishonest;semi2k;3;NA;NA;NA;0;25000;10000;0;0.436775;0.56;27;227%;~608;0.7028;2.10523;0.72
61;RING;semidishonest;semi2k;3;0.58;32;1;0;25000;10000;0;0.443541;0.59;27;227%;~608;0.7028;2.10523;0.67
61;RING;semidishonest;semi2k;3;NA;NA;NA;0;25000;10000;0;0.417432;0.56;29;206%;~608;0.7028;2.10523;0.67
61;RING;semidishonest;semi2k;3;NA;NA;NA;0;25000;10000;0;0.452487;0.59;29;229%;~608;0.7028;2.10523;0.80
61;RING;semidishonest;semi2k;3;NA;NA;NA;0;25000;10000;0;0.44281;0.58;29;244%;~608;0.7028;2.10523;0.83
61;RING;semidishonest;semi2k;3;NA;NA;NA;0;25000;10000;0;0.443546;0.57;28;251%;~608;0.7028;2.10523;0.88
61;RING;semidishonest;semi2k;3;NA;NA;NA;0;25000;10000;0;0.423962;0.56;29;172%;~608;0.7028;2.10523;0.61
61;RING;semidishonest;semi2k;3;NA;NA;NA;0;25000;10000;0;0.467898;0.60;29;233%;~608;0.7028;2.10523;0.92
61;RING;semidishonest;semi2k;3;NA;NA;NA;0;25000;10000;0;0.407956;0.54;31;225%;~608;0.7028;2.10523;0.74
61;RING;semidishonest;semi2k;3;NA;NA;NA;0;25000;10000;0;0.449833;0.58;29;242%;~608;0.7028;2.10523;0.80
61;RING;semidishonest;semi2k;3;NA;NA;NA;0;25000;10000;0;0.437348;0.58;25;221%;~608;0.7028;2.10523;0.77
61;RING;semidishonest;semi2k;3;NA;NA;NA;0;25000;10000;0;0.433577;0.56;28;217%;~608;0.7028;2.10523;0.73
61;RING;semidishonest;semi2k;3;NA;NA;NA;0;25000;10000;0;0.433616;0.57;29;240%;~608;0.7028;2.10523;0.77
61;RING;semidishonest;semi2k;3;NA;NA;NA;0;25000;10000;0;0.438031;0.58;29;239%;~608;0.7028;2.10523;0.80
61;RING;semidishonest;semi2k;3;NA;NA;NA;0;25000;10000;0;0.450972;0.59;29;216%;~608;0.7028;2.10523;0.71
61;RING;semidishonest;semi2k;3;NA;NA;NA;0;25000;10000;0;0.432191;0.56;27;241%;~608;0.7028;2.10523;0.75
61;RING;semidishonest;semi2k;3;NA;NA;NA;0;25000;10000;0;0.428519;0.56;27;237%;~608;0.7028;2.10523;0.77
61;RING;semidishonest;semi2k;3;NA;NA;NA;0;25000;10000;0;0.424856;0.55;29;251%;~608;0.7028;2.10523;0.76
61;RING;semidishonest;semi2k;3;NA;NA;NA;0;25000;10000;0;0.414517;0.56;29;211%;~608;0.7028;2.10523;0.72
61;RING;semidishonest;semi2k;3;NA;NA;NA;25;25000;10000;0;6.79179;8.44;27;19%;~608;0.7028;2.10523;1.04
61;RING;semidishonest;semi2k;3;NA;NA;NA;25;25000;10000;0;6.79877;8.46;27;19%;~608;0.7028;2.10523;0.88
61;RING;semidishonest;semi2k;3;NA;NA;NA;25;25000;10000;0;6.80609;8.45;28;18%;~608;0.7028;2.10523;0.97
61;RING;semidishonest;semi2k;3;NA;NA;NA;25;25000;10000;0;6.79057;8.44;29;19%;~608;0.7028;2.10523;0.92
61;RING;semidishonest;semi2k;3;NA;NA;NA;25;25000;10000;0;6.79681;8.45;27;18%;~608;0.7028;2.10523;1.01
61;RING;semidishonest;semi2k;3;NA;NA;NA;25;25000;10000;0;6.79786;8.45;29;19%;~608;0.7028;2.10523;0.88
61;RING;semidishonest;semi2k;3;NA;NA;NA;25;25000;10000;0;6.78086;8.43;29;19%;~608;0.7028;2.10523;0.98
61;RING;semidishonest;semi2k;3;NA;NA;NA;25;25000;10000;0;6.7869;8.44;30;18%;~608;0.7028;2.10523;0.98
61;RING;semidishonest;semi2k;3;NA;NA;NA;25;25000;10000;0;6.80408;8.46;29;19%;~608;0.7028;2.10523;0.99
61;RING;semidishonest;semi2k;3;NA;NA;NA;25;25000;10000;0;6.81602;8.47;29;18%;~608;0.7028;2.10523;0.90
