program  c.domain  adv.model        protocol             partysize  comp.time(s)  comp.peakRAM(MiB)  bin.filesize(MiB)  input_size  runtime_internal(s)  runtime_external(s)  peakRAM(MiB)  jobCPU(%)                         P0commRounds  P0dataSent(MB)  ALLdataSent(MB)
54       FIELD     maldishonest     mascot               3          0.27          30                 1                  10          0.842586             0:00.96              191           	Percent of CPU this job got: 135  ~107          45.1476         135.41
54       FIELD     covertdishonest  cowgear              3          0.27          30                 1                  10          14.6569              0:14.83              147           	Percent of CPU this job got: 97   ~517          59.0189         174.697
54       FIELD     covertdishonest  chaigear             3          0.27          30                 1                  10          56.3114              0:56.73              1261          	Percent of CPU this job got: 98   ~215          37.6131         133.288
54       FIELD     semidishonest    semi                 3          0.27          30                 1                  10          0.188993             0:00.29              64            	Percent of CPU this job got: 119  ~48           8.20086         24.6019
54       FIELD     semidishonest    hemi                 3          0.27          30                 1                  10          0.481462             0:00.64              47            	Percent of CPU this job got: 94   ~47           3.14695         9.44018
54       FIELD     semidishonest    temi                 3          0.27          30                 1                  10          0.301086             0:00.54              40            	Percent of CPU this job got: 87   ~54           3.92949         8.64129
54       FIELD     semidishonest    soho                 3          0.27          30                 1                  10          1.13982              0:02.51              158           	Percent of CPU this job got: 97   ~48           10.9747         32.9235
54       FIELD     malhonest        malicious-shamir     3          0.27          30                 1                  10          0.0573661            0:00.14              21            	Percent of CPU this job got: 68   ~20           1.76084         5.28252
54       FIELD     malhonest        malicious-rep-field  3          0.27          30                 1                  10          0.030262             0:00.12              19            	Percent of CPU this job got: 62   ~18           0.480632        1.4419
54       FIELD     malhonest        ps-rep-field         3          0.27          30                 1                  10          0.00278555           0:00.09              14            	Percent of CPU this job got: 55   ~18           0.000792        0.002376
54       FIELD     malhonest        sy-rep-field         3          0.27          30                 1                  10          0.00289929           0:00.09              15            	Percent of CPU this job got: 49   ~17           0.000592        0.001776
54       FIELD     semihonest       shamir               3          0.27          30                 1                  10          0.00261663           0:00.08              12            	Percent of CPU this job got: 45   ~12           0.000352        0.001008
54       FIELD     semihonest       atlas                3          0.27          30                 1                  10          0.0181557            0:00.11              17            	Percent of CPU this job got: 60   ~24           0.213632        0.640816
54       FIELD     semihonest       replicated-field     3          0.27          30                 1                  10          0.00238949           0:00.08              13            	Percent of CPU this job got: 52   ~11           0.000176        0.000528
